CodInep	nota
11000198	564,1215132
11000295	624,6150313
11000350	765,1607136
11000880	553,4734227
11003065	622,7400326
11003081	748,0396835
11003162	607,7235498
11007885	901,7824506
11007893	639,5431585
11013141	672,6537041
11013389	652,2404806
11026324	629,5862666
11033835	694,2656031
11037016	898,2165541
11040793	741,4177659
11041951	522,5623071
11043857	710,178602
11043954	710,4098906
11046309	542,8452174
11046643	737,4143587
11047208	590,1041915
11049006	842,2130955
11049294	600,9980563
11049375	533,021491
11049634	570,7185605
11049812	664,4801965
11050101	969,3328838
11050225	711,829345
11050373	755,3595602
11050527	770,950396
11050608	637,5898748
11106808	694,9596767
11107804	799,8220322
11109815	975,1529341
11111111	883,8018747
12000418	926,5940116
12013013	687,8754776
12013293	789,1493984
12026409	539,0740811
13025872	827,9018142
13026194	733,583629
13026402	863,9442531
13026470	687,6539664
13026488	616,0498591
13026577	572,3214418
13029916	524,018825
13030531	935,7884742
13030582	524,3510739
13030817	345,7229746
13031457	764,2039899
13068113	733,1065848
13074130	805,1786937
13075390	686,3371034
13079220	545,7327653
13079409	671,8286992
13090780	639,7296735
13098276	807,8602397
13099230	810,5152549
13100157	575,8476844
13102451	689,2474746
13103385	937,1107166
13168207	811,4236671
14000547	527,2955323
14000814	864,2740303
14006740	752,1428166
14007274	781,7112651
15002012	758,0461811
15011070	909,857395
15011097	762,6253768
15034160	810,6951951
15034763	543,646715
15038424	512,0856828
15038513	700,5767699
15039153	857,6440641
15040364	753,9634281
15041670	889,2181169
15085554	588,8688615
15096378	736,734713
15100243	609,1145301
15107000	520,7855996
15117014	709,0201073
15125335	557,6191851
15125394	570,2507816
15127230	848,448828
15128407	617,9428431
15130010	882,9773101
15131106	646,7302862
15143422	657,0588732
15146006	601,3752944
15157741	870,8761607
15157792	774,0937894
15159485	472,1145703
15161145	816,2149003
15161412	577,1995143
15161684	929,436485
15162079	950,7671614
15163830	615,3606436
15164632	731,783377
15166260	486,6348478
15167216	570,8486616
15167275	697,9422924
15167810	580,8378292
15168263	404,4483652
15168344	556,4539235
15169243	850,0778219
15170616	360,031249
15170888	903,8084456
15170942	667,617898
15229408	584,5063051
15521605	781,342031
15565572	659,0761339
15567648	725,6278363
15569179	732,6465663
15570479	796,465184
15573214	713,5699893
15585190	716,4417561
15589285	698,551867
15995933	691,6419016
16002016	588,0041829
16002032	598,1227872
16002148	866,9390439
16007743	462,7395373
16008464	888,1337223
16011694	557,7015225
16011821	776,5071784
16014405	773,7211964
17024846	456,0050952
17030536	803,0747091
17038936	555,756064
17041830	737,4995407
17046777	721,9428596
17050030	502,0360414
17053358	974,9884065
17055741	724,3207656
17056152	863,6886269
21001570	766,3482708
21005206	468,0228686
21005451	672,392934
21007446	882,9067905
21010331	619,8504304
21014930	875,8639812
21017158	756,4210763
21017506	624,6919771
21021678	755,2872017
21021961	487,6245114
21038465	680,5268471
21047286	971,5367518
21077444	683,3598641
21087059	661,9012682
21093040	882,117748
21113351	888,6597154
21122377	704,1005216
21137005	681,6703164
21148295	961,5758412
21194653	714,3246531
21195534	167,8051791
21196311	613,1882801
21199809	446,2387263
21203377	575,1110903
21210047	403,7032533
21243999	697,973695
21255385	905,5885732
21262535	456,6008433
21262810	739,6499697
21268550	665,7547993
21275890	634,249029
21280100	603,5476328
21280959	603,1996516
21281840	906,902569
21283486	735,0064371
21575843	801,1464265
21615667	588,6658377
22018204	641,1026508
22022481	956,4705468
22026037	695,7299252
22050922	567,6070023
22108670	938,1210455
22124888	837,3620004
22136002	653,2463793
22142282	953,1156668
22142363	868,284603
22142622	844,7489199
22209603	521,5371389
23010886	575,948824
23012420	798,3940197
23025310	531,5743599
23028068	969,4644454
23041145	667,8317011
23042664	705,9963215
23050799	693,7497761
23062495	598,6597117
23065591	844,3043743
23069864	685,318272
23071036	543,1117515
23071516	501,6087893
23072270	662,45467
23076046	702,6707846
23076208	567,7189415
23077468	664,7169942
23078529	665,089062
23125268	646,7551389
23154039	617,598838
23164875	860,2182851
23165235	328,9681258
23192720	367,1991475
23238925	806,3746643
23241985	759,1185983
23243350	528,1924601
23243520	634,8736499
23246243	777,4567754
23247088	742,7492116
23251859	706,7698978
23259604	834,8809909
23262575	568,9752545
23264080	555,6555231
23265574	696,178906
23265663	539,7180145
23266155	503,0320992
23269316	835,6357554
23269723	810,5680492
23272805	602,6107207
23302216	797,0860697
23359625	624,4122801
23410639	799,6755511
23462213	675,6887668
23491035	804,2983963
23498994	721,7403213
23516992	557,4535706
23545380	759,8360415
24000485	796,4887546
24000493	692,1848319
24000507	346,1732813
24000582	720,7803012
24000825	522,4766398
24001007	866,2189255
24001074	625,7283827
24001171	720,7671726
24001260	789,7631245
24001279	856,8688536
24001600	847,5796685
24001759	728,4267243
24001910	689,8190189
24002208	612,2925177
24002232	505,5262829
24002356	970,3778748
24002364	862,0822185
24002445	897,999299
24002470	503,0414891
24002526	685,3251579
24003212	688,8846533
24003417	633,8832719
24003530	822,2953078
24003581	870,1505761
24003670	722,344157
24003697	708,0771303
24003727	443,3955541
24004219	705,7181382
24004308	647,6958351
24004545	631,2572533
24005681	668,7677779
24006475	717,3211652
24007994	798,6122377
24009296	549,7630688
24009318	823,1804979
24009547	713,1132319
24009725	580,5290695
24010081	613,2277713
24010839	789,7667782
24011568	616,0211391
24011797	391,6106163
24012599	837,4974014
24012670	816,5684181
24013684	323,374548
24014591	590,9890551
24014613	521,9808478
24019178	648,9209825
24019356	775,5434615
24019470	690,5542617
24022640	748,2616847
24023949	529,1321806
24025534	860,8098681
24025550	670,271324
24025569	928,9482668
24025810	890,9562147
24025852	747,2381325
24025879	668,5504338
24026069	775,2149042
24026077	561,7915137
24026522	739,7514715
24027162	595,2813281
24027480	681,1179314
24027910	707,4545467
24028460	903,0917238
24029475	611,31679
24029661	706,8874526
24031054	456,9644192
24031372	637,1188566
24031550	940,5185277
24031984	784,0240028
24032018	696,1966346
24032034	691,1673347
24032204	666,6554404
24032441	766,7947264
24032565	784,1172803
24032573	688,7931476
24033260	400,8400712
24033618	474,4466742
24034797	781,7728276
24035440	480,5299131
24035467	616,955947
24035653	633,3921083
24036099	483,3372736
24036161	555,0361499
24036188	251,9961252
24036390	823,2421953
24036730	687,5079054
24037028	810,2712706
24038415	975,9394803
24041181	652,4004085
24041238	608,696363
24042412	648,2840983
24043117	657,0493691
24044024	310,0719526
24044644	820,8763167
24044717	696,038242
24044946	851,513472
24045250	753,0904853
24045284	844,7364359
24045594	805,8060434
24045756	674,1213241
24046159	537,7546315
24046302	850,9961302
24046710	505,8777931
24046744	905,8918298
24047015	809,9691965
24047341	769,2205182
24048194	534,4990688
24048631	791,2862754
24049026	623,5405418
24049158	862,2356674
24049239	370,5848107
24050598	747,0640405
24050881	714,8742558
24051659	811,7408782
24051764	664,7822708
24052035	557,6522732
24052051	797,1553421
24052078	570,0488196
24052094	832,6351139
24052566	798,7416111
24052655	910,4433345
24052744	478,6431928
24052884	884,8898448
24052973	528,1437786
24053007	860,0532809
24053155	904,3658443
24053260	975,3128106
24053546	870,5324237
24053554	870,4227445
24053775	782,7034256
24054062	580,9713854
24054186	694,3534366
24054224	666,794294
24054445	640,7633149
24054593	609,325476
24054925	785,6397049
24055000	847,9367556
24055611	613,3135814
24055654	868,9359913
24055670	504,471295
24055786	311,7889207
24055794	868,6526261
24055840	698,21723
24055859	516,4123749
24055867	461,5249943
24055883	629,326358
24055930	973,5453212
24055999	618,646098
24056090	826,6066276
24056243	746,5410099
24056278	436,1615178
24056324	577,5261822
24056367	869,4111659
24056375	813,5304321
24056510	724,775278
24056731	714,8307475
24056740	526,4844371
24056758	758,761886
24056782	604,7681032
24056820	800,3618619
24056839	724,0909769
24056901	605,4070712
24056936	758,960071
24056987	362,8558427
24056995	876,2744373
24057010	622,0722345
24057053	653,9327183
24057061	599,4713838
24057070	917,4409481
